id,split,y_true,y_prob
0,val,0,0.9157653052947242
1,train,0,0.1742539653931701
2,train,0,0.7855456336238016
3,train,0,0.3405688429872384
4,train,0,0.3679758829712454
5,test,0,0.3254862283012332
6,train,0,0.5940439186436847
7,train,0,0.6304329985671133
8,train,1,0.8808274719760902
9,train,0,0.09264010195087359
10,train,1,0.31044533360681276
11,train,0,0.871374417174394
12,test,0,0.1643410264812488
13,train,1,0.8159824611442635
14,train,0,0.5296061364069224
15,val,0,0.2431035570109965
16,val,0,0.49735500123659016
17,val,1,0.08018834239821378
18,train,0,0.05513835135393534
19,test,0,0.10843771868576423
20,test,0,0.5371929793388223
21,train,0,0.9157653052947242
22,test,0,0.1552257867063615
23,val,1,0.3321408709861236
24,train,0,0.7085959554926187
25,train,0,0.09722310039451389
26,test,1,0.9166595258066935
27,train,1,0.8459041173267846
28,train,1,0.7335309811561934
29,train,0,0.25658897227605915
30,train,1,0.9097797892976474
31,train,0,0.631622714061487
32,val,0,0.047948226770826184
33,train,0,0.7074537605900312
34,test,1,0.3679758829712454
35,train,0,0.2962202933648219
36,test,0,0.5554022290233674
37,val,0,0.1313219055065252
38,test,0,0.06183151902200549
39,train,0,0.718592532088546
40,train,0,0.061058473801672716
41,test,1,0.6967987349935851
42,train,0,0.49206102663888746
43,train,0,0.19251708266599665
44,train,0,0.19914159976344456
45,train,0,0.2866355994630344
46,train,0,0.11706485144900214
47,test,0,0.3893594912756567
48,test,0,0.8694603826498123
49,test,1,0.8677227666419564
50,train,0,0.8808274719760902
51,train,0,0.32582205742867043
52,train,1,0.8079577617455213
53,val,0,0.24520601200984424
54,train,0,0.1778394742832191
55,train,0,0.203186639362507
56,test,0,0.0638433754502196
57,val,0,0.10143402187648988
58,test,0,0.8452225678097751
59,test,0,0.07519761796827053
60,train,1,0.604572750905539
61,train,0,0.7317696041802333
62,train,0,0.7367937341862918
63,train,0,0.618095799466465
64,test,0,0.8090397155000355
65,test,0,0.9121275440074197
66,val,0,0.4186641510684343
67,train,0,0.5282698499178137
68,test,1,0.4098021541010689
69,train,1,0.31006501875840364
70,train,0,0.46512722998039335
71,train,1,0.35302015729325653
72,test,0,0.3096205038539317
73,test,0,0.04749050210289932
74,train,0,0.121142122226539
75,train,0,0.08952459909710785
76,train,1,0.4102480761866938
77,test,0,0.859889300933414
78,test,0,0.6042886028461605
79,train,0,0.20508891397672394
80,train,0,0.19359422393040157
81,train,0,0.7606339585275732
82,test,0,0.5415856011749955
83,train,1,0.6105851674278913
84,train,0,0.10596902908387089
85,val,1,0.8968456820058065
86,test,0,0.1597782837274823
87,train,0,0.6807963024393832
88,test,0,0.14319038250788127
89,train,1,0.7899376089093046
90,train,0,0.8527255861814105
91,train,0,0.04438849225488758
92,val,1,0.6773580758383901
93,val,1,0.7713378721747177
94,train,0,0.06384054075442504
95,train,1,0.79647983421714
96,train,1,0.24746852383017928
97,val,0,0.7559179511224984
98,train,0,0.5609230608930489
99,test,0,0.5846198568931629
100,train,0,0.4762695040994843
101,train,0,0.37692528771892636
102,train,0,0.47049523748865485
103,test,1,0.44532627994431867
104,train,0,0.37142367517432323
105,train,0,0.6351926071448148
106,train,0,0.2888058508656088
107,train,1,0.768869482938847
108,test,0,0.5617038564075492
109,train,0,0.8970262243185861
110,train,0,0.059541752757643764
111,train,0,0.784740329825017
112,train,0,0.38193699235128176
113,train,0,0.3965674007380095
114,train,0,0.12301939209504284
115,train,0,0.13945225958350993
116,train,0,0.20069740888206186
117,val,0,0.08119637835792179
118,train,0,0.5535465642109212
119,train,0,0.08505816643079527
120,test,0,0.77714918451733
121,train,1,0.4399029885049592
122,test,0,0.805773749917943
123,val,0,0.5370519378615989
124,train,0,0.5571218574234543
125,train,0,0.11305674682129362
126,val,0,0.8027180361486916
127,train,0,0.6085455579485397
128,train,0,0.539204046841611
129,train,0,0.8735325174776918
130,val,0,0.06167995975603019
131,train,0,0.11447712686397306
132,train,0,0.9011327966087227
133,train,0,0.42879987094605904
134,train,0,0.4584657632871679
135,train,0,0.4754555638394183
136,train,0,0.32380143139743234
137,val,1,0.5625386753898995
138,train,0,0.10905028282706825
139,val,0,0.8477976719687508
140,train,0,0.10256865529238422
141,train,0,0.8369599114489954
142,val,0,0.3077935926696956
143,train,1,0.23161688507722217
144,test,1,0.5756971078110138
145,train,0,0.38774104746735366
146,val,0,0.9157653052947242
147,train,0,0.15346421230326085
148,val,0,0.62506508980099
149,train,0,0.1626550695210559
150,test,1,0.8028018068384267
151,train,0,0.7059539411726025
152,test,1,0.3760016821423228
153,val,1,0.8103879664865721
154,train,0,0.35532598979493557
155,train,0,0.05416216597399342
156,test,1,0.8761304575213321
157,train,0,0.3429122206388181
158,train,1,0.6753541567235086
159,val,0,0.3153184471967163
160,train,1,0.7112339702009663
161,train,0,0.09123250310138233
162,train,0,0.5470909051319881
163,test,1,0.7858335097463336
164,test,0,0.29945969496767655
165,train,1,0.7745225041319247
166,train,0,0.5269626322840376
167,val,0,0.7373029032872862
168,train,0,0.11138388685969806
169,train,0,0.5870773154476375
170,train,1,0.4853244121226071
171,train,1,0.859889300933414
172,train,0,0.5408255376450374
173,test,0,0.179633053519438
174,train,0,0.8784064478358616
175,train,0,0.26349494487804737
176,val,1,0.8176274785346065
177,val,1,0.8666372626931302
178,train,0,0.7031174813892836
179,val,0,0.16580660725484625
180,train,0,0.06720567559867746
181,test,0,0.9103398713733204
182,train,0,0.08958111376329134
183,train,0,0.6680155936385876
184,train,0,0.8646851726635396
185,val,0,0.0696430811947816
186,train,0,0.7742605968166606
187,train,0,0.7060561134773445
188,train,0,0.877325414031893
189,test,0,0.2576748356986051
190,train,0,0.8684341499905911
191,test,0,0.4986959475405885
192,train,0,0.27984992072178166
193,train,0,0.4882927103709361
194,train,1,0.8247099792489174
195,train,0,0.6834500211884607
196,train,0,0.4124627954812562
197,train,1,0.8591907663972197
198,train,0,0.12199390817233317
199,train,0,0.06245159454420873
200,test,0,0.07687182837121573
201,train,1,0.9012388884631246
202,train,0,0.049012091227426745
203,test,0,0.8485028382483742
204,train,0,0.40490894869879135
205,test,0,0.16305353179544496
206,train,0,0.36139364320527945
207,train,0,0.07223718432480528
208,train,0,0.1893935927827232
209,test,0,0.24153828410769024
210,train,1,0.7539825057752354
211,train,0,0.3333156996103168
212,train,0,0.3704177252157803
213,train,0,0.30050514920078053
214,train,0,0.080662540152325
215,train,0,0.10350579050562765
216,train,0,0.6981981977747254
217,train,1,0.8339792398413247
218,train,0,0.8720975847797945
219,train,1,0.6723598052859507
220,train,0,0.06350361970519496
221,train,0,0.573683606394524
222,train,0,0.6963620981944793
223,test,0,0.48871186802914657
224,train,0,0.06268302074133884
225,val,0,0.13296878908023002
226,test,0,0.5964817576902598
227,test,0,0.31026487049181095
228,train,0,0.542219431169795
229,train,0,0.740360856993848
230,test,0,0.5542804654878236
231,train,0,0.07687182837121573
232,train,0,0.11518076963241883
233,test,0,0.34229143666432676
234,test,0,0.3280739281841974
235,train,1,0.8529001513151269
236,train,0,0.9001480504214782
237,train,1,0.3452101258560741
238,test,1,0.7594896497441062
239,train,0,0.28751747610555134
240,test,0,0.5685952177968518
241,test,0,0.16669866962529256
242,train,0,0.11891089327869546
243,train,1,0.10298517296301918
244,train,0,0.41805162759097936
245,test,0,0.6121191533250031
246,train,0,0.10335658681146458
247,val,0,0.2590294645468839
248,val,0,0.11852102747758772
249,train,1,0.7236389807661564
250,train,1,0.2975901761264844
251,train,0,0.6253000752325499
252,train,0,0.14542510646390325
253,train,0,0.2627469149616336
254,train,0,0.3215502887099735
255,train,0,0.42880464125914686
256,train,0,0.5270027726175239
257,train,0,0.276822296370209
258,test,0,0.7169106106929523
259,train,0,0.5306373617771459
260,train,1,0.2556071446802999
261,test,0,0.5345004586731268
262,train,0,0.18494517452606266
263,test,0,0.38591235999409296
264,train,0,0.2440212932408883
265,test,0,0.84383063864739
266,train,1,0.5709559285852874
267,train,1,0.48411988723341864
268,test,1,0.8453911390213653
269,val,1,0.7182525038485608
270,train,0,0.13353745685039542
271,val,0,0.04698290996561052
272,val,0,0.2546798825127725
273,val,0,0.8498092880880067
274,train,1,0.9145822804755012
275,train,0,0.8702975284560034
276,test,0,0.1905196900156779
277,train,0,0.8486214358751182
278,train,0,0.057802260476127056
279,train,1,0.5952797659182497
280,train,0,0.1858928430825002
281,train,0,0.8332674328741281
282,train,0,0.6570184830851532
